Annee;Thermique (MW);Hydraulique (MW);Nucléaire (MW);Solaire (MW);Eolien (MW);Bioénergies (MW)
2007;24055.0;25413.0;63260.0;7.0;2252.0;953.0
2008;24665.0;25360.0;63260.0;30.0;3327.0;986.3
2009;26154.6;25356.9;63130.0;190.0;4573.0;1029.0
2010;27399.0;25392.0;63130.0;878.0;5762.0;1223.9
2011;27813.0;25393.9;63130.0;2584.0;6714.0;1237.0
2012;27826.5;25407.0;63130.0;3727.0;7536.0;1345.9
2013;25706.7;25434.0;63130.0;4366.0;8157.0;1496.1
2014;23750.9;25415.3;63130.0;5295.9;9271.4;1598.1
2015;22334.9;25430.2;63130.0;6196.2;10324.5;1702.9
2016;21803.2;25469.8;63130.0;6772.5;11761.4;1918.2
2017;19027.7;25521.1;63130.0;7653.9;13549.6;1952.8
2018;18640.933;25536.32;63130.0;8546.07;15133.26;2046.63
2019;18541.091;25703.673;63130.0;9566.9790811;16511.2904;2105.535
2020;18642.85;25717.79;61370.0;10380.329;17581.02;2150.48
2021;17978.6;25717.97;61370.0;13066.86;18782.9;2213.48
